Water Quality Data,,,,,,Fish Population Data,,,,
Site ID,Date,Temperature (°C),pH,Dissolved Oxygen (mg/L),,Site ID,Date,Species,Count,Avg. Size (cm)
AV-3,10/30/2023,16.7,7.59,9,,AV-3,10/30/2023,Brown Trout,10,17.3
AV-2,11/5/2023,15.2,7.53,8.3,,AV-2,11/5/2023,Inanga,24,8.5
AV-1,10/27/2023,14.3,7.15,6.9,,AV-1,10/27/2023,Longfin Eel,6,40.7
AV-2,10/31/2023,14.6,7.41,8.2,,AV-2,10/31/2023,Inanga,15,7.9
AV-3,10/11/2023,13.2,7.38,7.5,,AV-3,10/11/2023,Brown Trout,9,18.2
AV-2,10/26/2023,15.8,7.62,8.6,,AV-2,10/26/2023,Shortfin Eel,6,41
AV-1,11/4/2023,16,7.29,7.8,,AV-1,11/4/2023,Inanga,23,7.2
AV-3,11/15/2023,19.7,7.42,7.9,,AV-3,11/15/2023,Brown Trout,12,18.7
AV-2,10/9/2023,14.9,7.55,8.7,,AV-2,10/9/2023,Longfin Eel,5,43.6
AV-3,11/8/2023,18,7.31,6.7,,AV-3,11/8/2023,Shortfin Eel,8,40.1
AV-1,11/10/2023,14.8,7.36,7.6,,AV-1,11/10/2023,Inanga,27,7.8
AV-2,11/6/2023,15.5,7.63,8.4,,AV-2,11/6/2023,Brown Trout,10,18
AV-3,10/31/2023,17.3,7.5,9.1,,AV-3,10/31/2023,Inanga,25,7.6
AV-2,11/12/2023,16.1,7.67,7.3,,AV-2,11/12/2023,Shortfin Eel,6,40.4
AV-1,10/20/2023,14.5,7.18,7.9,,AV-1,10/20/2023,Longfin Eel,4,42.5
AV-2,11/14/2023,16,7.56,8.1,,AV-2,11/14/2023,Inanga,20,7.3
AV-3,11/1/2023,17.2,7.34,7.8,,AV-3,11/1/2023,Brown Trout,11,17.9
AV-1,10/8/2023,13.8,7.28,6.9,,AV-1,10/8/2023,Shortfin Eel,3,38.8
AV-2,10/24/2023,15.6,7.58,8.3,,AV-2,10/24/2023,Inanga,26,8.1
AV-3,10/13/2023,16.4,7.44,7.7,,AV-3,10/13/2023,Longfin Eel,7,42.7
AV-2,10/30/2023,15.1,7.69,8.6,,AV-2,10/30/2023,Brown Trout,9,18.4
AV-1,10/7/2023,14.2,7.23,7.5,,AV-1,10/7/2023,Inanga,22,7.1
AV-3,10/29/2023,16.5,7.51,9.2,,AV-3,10/29/2023,Shortfin Eel,6,41.6
AV-1,10/24/2023,14,7.09,6.8,,AV-1,10/24/2023,Longfin Eel,5,43
AV-2,11/7/2023,15.3,7.6,8.4,,AV-2,11/7/2023,Inanga,18,7.4
AV-1,10/6/2023,13.9,7.22,7.7,,AV-1,10/6/2023,Brown Trout,10,18.5
AV-3,11/6/2023,18.2,7.39,8,,AV-3,11/6/2023,Inanga,24,8.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
